term_id,concept,category,language,term,notes
hamartia_fc1_g,Sin frequency control 1,pericope_frequency_control,greek,σαμουηλ,target=hamartia_g; source=biblical_narrative_names.csv:narrative_samuel_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
hamartia_fc2_g,Sin frequency control 2,pericope_frequency_control,greek,σολομων,target=hamartia_g; source=biblical_narrative_names.csv:narrative_solomon_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
hamartia_fc3_g,Sin frequency control 3,pericope_frequency_control,greek,αγγαιος,target=hamartia_g; source=biblical_prophets_cohort.csv:prophet_haggai_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
hamartia_fc4_g,Sin frequency control 4,pericope_frequency_control,greek,μιχαιας,target=hamartia_g; source=biblical_prophets_cohort.csv:prophet_micah_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
hamartia_fc5_g,Sin frequency control 5,pericope_frequency_control,greek,ισσαχαρ,target=hamartia_g; source=biblical_tribes.csv:issachar_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
anamartetos_fc1_g,Sinless frequency control 1,pericope_frequency_control,greek,αντιχριστος,target=anamartetos_g; source=eschatology_expanded_terms.csv:esch_antichrist_g; normalized_length=11; target_tr_hits=0; control_tr_hits=0
anamartetos_fc2_g,Sinless frequency control 2,pericope_frequency_control,greek,αλεξανδρεια,target=anamartetos_g; source=greek_expanded_prospective_terms.csv:gpx_alexandria_g; normalized_length=11; target_tr_hits=0; control_tr_hits=0
anamartetos_fc3_g,Sinless frequency control 3,pericope_frequency_control,greek,ημερα κυριου,target=anamartetos_g; source=greek_expanded_prospective_terms.csv:gpx_day_of_lord_g; normalized_length=11; target_tr_hits=0; control_tr_hits=0
anamartetos_fc4_g,Sinless frequency control 4,pericope_frequency_control,greek,Υἱός τοῦ Θεοῦ,target=anamartetos_g; source=greek_expanded_prospective_terms.csv:gpx_huios_tou_theou_gnt; normalized_length=11; target_tr_hits=0; control_tr_hits=0
anamartetos_fc5_g,Sinless frequency control 5,pericope_frequency_control,greek,επτα βρονται,target=anamartetos_g; source=greek_expanded_prospective_terms.csv:gpx_seven_thunders_g; normalized_length=11; target_tr_hits=0; control_tr_hits=0
iesous_fc1_g,Jesus frequency control 1,pericope_frequency_control,greek,πιστις,target=iesous_g; source=greek_exact_center_cohort_terms.csv:faith_gxc; normalized_length=6; target_tr_hits=5; control_tr_hits=5
iesous_fc2_g,Jesus frequency control 2,pericope_frequency_control,greek,αθηναι,target=iesous_g; source=greek_expanded_prospective_terms.csv:gpx_athens_g; normalized_length=6; target_tr_hits=5; control_tr_hits=5
iesous_fc3_g,Jesus frequency control 3,pericope_frequency_control,greek,περσις,target=iesous_g; source=greek_expanded_prospective_terms.csv:gpx_persia_g; normalized_length=6; target_tr_hits=5; control_tr_hits=5
iesous_fc4_g,Jesus frequency control 4,pericope_frequency_control,greek,πετρος,target=iesous_g; source=greek_expanded_prospective_terms.csv:gpx_peter_g; normalized_length=6; target_tr_hits=5; control_tr_hits=5
iesous_fc5_g,Jesus frequency control 5,pericope_frequency_control,greek,κρίνον,target=iesous_g; source=greek_surface_new_terms.csv:user_greek_term_336_g; normalized_length=6; target_tr_hits=5; control_tr_hits=5
gyne_fc1_g,Woman frequency control 1,pericope_frequency_control,greek,ιωηλ,target=gyne_g; source=biblical_prophets_cohort.csv:prophet_joel_g; normalized_length=4; target_tr_hits=197; control_tr_hits=199
gyne_fc2_g,Woman frequency control 2,pericope_frequency_control,greek,λουδ,target=gyne_g; source=greek_expanded_prospective_terms.csv:gpx_lud_g; normalized_length=4; target_tr_hits=197; control_tr_hits=200
gyne_fc3_g,Woman frequency control 3,pericope_frequency_control,greek,ρουθ,target=gyne_g; source=biblical_narrative_names.csv:narrative_ruth_g; normalized_length=4; target_tr_hits=197; control_tr_hits=202
gyne_fc4_g,Woman frequency control 4,pericope_frequency_control,greek,πρωΐ,target=gyne_g; source=greek_surface_new_terms.csv:user_greek_term_107_g; normalized_length=4; target_tr_hits=197; control_tr_hits=188
gyne_fc5_g,Woman frequency control 5,pericope_frequency_control,greek,χειρ,target=gyne_g; source=frequency_anchors.csv:cheir_g; normalized_length=4; target_tr_hits=197; control_tr_hits=187
